COMMUNE_NL,COMMUNE_FR,COMMUNE_DE,PKANCODE,STREET_NL,STREET_FR,STREET_DE,HUISNR,LAT,LON
Lille,,,2275,Vendelmansweg,,,23,51.2652746151,4.79127837351
Lille,,,2275,Vijfde Bosdreef,,,14,51.2742442087,4.80687359043
Lille,,,2275,Stepke,,,13,51.2645797973,4.78156986557
Lille,,,2275,Beulk,,,25,51.2637360645,4.78328830921
Lille,,,2275,Brevennendijk,,,9,51.2709574359,4.79425425171
Lille,,,2275,Valvekenstraat,,,39,51.253402186,4.82146791642
Lille,,,2275,Turnhoutsebaan,,,54,51.2757392458,4.88285815378
Lille,,,2275,Schoolstraat,,,8,51.2676031424,4.8664064158
Lille,,,2275,Duivenstraat,,,9,51.2492967086,4.8185043654
Lille,,,2275,De Schrans,,,16,51.2360671586,4.81990641837
Lille,,,2275,Veenzijde,,,71,51.2557924358,4.86349142958
Lille,,,2275,De Nefstraat,,,68,51.269922337,4.87152435513
Lille,,,2275,Kruisweg,,,12,51.2639250668,4.79279319908
Lille,,,2275,Doolstraat,,,8,51.2634731807,4.86918516402
Lille,,,2275,Schoorstraat,,,56,51.2803290267,4.86676417559
Lille,,,2275,Moleneind,,,19,51.232986868,4.82538383742
Lille,,,2275,Zavelstraat,,,5,51.2309054239,4.81990492056
Lille,,,2275,Schoorstraat,,,39,51.2800783729,4.86907707902
Lille,,,2275,Houtakkerstraat,,,25,51.2710692767,4.86484022821
Lille,,,2275,Hemeldonk,,,58,51.2794659638,4.84557341696
Lille,,,2275,Hoogland,,,7,51.2363981412,4.83635277754
Lille,,,2275,Duinenweg,,,17,51.2802541207,4.79528838656
Lille,,,2275,P.Damiaanstraat,,,25,51.2362672433,4.83319284971
Lille,,,2275,De Nefstraat,,,67,51.270657609,4.87202664999
Lille,,,2275,Kerkstraat,,,4,51.2385404668,4.82374009883
Lille,,,2275,Koolmeesweg,,,4,51.2744054859,4.79462026643
Lille,,,2275,Kardinaal Cardijnlaan,,,15,51.233352137,4.8395142392
Lille,,,2275,Gebroeders De Winterstraat,,,53,51.2617951639,4.79131739125
Lille,,,2275,Berg,,,5,51.2366866958,4.82747683291
Lille,,,2275,Blasvenpad,,,7,51.265271745,4.79582693043
Lille,,,2275,De Nefstraat,,,38,51.269190887,4.86980333979
Lille,,,2275,Begonialaan,,,2,51.2606693161,4.78817899647
Lille,,,2275,Dorp,,,15,51.2275926416,4.83532536685
Lille,,,2275,Stepke,,,10,51.2648978948,4.78157011043
Lille,,,2275,Kastanjelaan,,,20,51.2301962608,4.81014586341
Lille,,,2275,Boonhof,,,62,51.258800401,4.78768611856
Lille,,,2275,Kosterstraat,,,13,51.2664670284,4.8718363159
Lille,,,2275,Klophamer,,,19,51.2521521663,4.83934007598
Lille,,,2275,Beukenlaan,,,22,51.2290151707,4.81488114203
Lille,,,2275,Leeuweriksstraat,,,2,51.2598346544,4.86266986859
Lille,,,2275,Balsakker,,,60,51.2390829643,4.80895331808
Lille,,,2275,Singel,,,33,51.2668615748,4.86815921626
Lille,,,2275,Achterstenhoek,,,9,51.2487699077,4.81181758425
Lille,,,2275,De Schrans,,,21,51.2363332015,4.82035758917
Lille,,,2275,Wijngaard,,,21,51.2268593424,4.83762079151
Lille,,,2275,Heikant,,,40,51.2301072625,4.82979023035
Lille,,,2275,Herentalsesteenweg,,,53,51.2234455833,4.83201856121
Lille,,,2275,Dorp,,,63,51.2298785017,4.83313998649
Lille,,,2275,Oostmalsebaan,,,5,51.2640148212,4.78458507263
Lille,,,2275,Achterstenhoek,,,48,51.2539882309,4.8088368187
